t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.00138,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.740,-0.011,-0.004,1.571,0.016,0.000,0.000,0.000,49.502,5.000,0.000,0.000,0.60,0.00
0.05866,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.740,-0.011,-0.004,1.571,0.016,0.000,0.000,0.000,49.501,5.000,0.000,0.000,0.60,0.00
0.07464,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.740,-0.011,-0.004,1.571,0.016,0.000,0.000,0.000,49.501,5.000,0.000,0.000,0.60,0.00
0.08635,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.740,-0.011,-0.004,1.571,0.013,0.000,0.000,0.000,49.501,5.000,0.000,0.000,0.60,0.00
0.10354,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.740,-0.011,-0.004,0.380,-29.148,0.000,0.000,0.000,15.566,5.000,0.000,0.000,0.60,0.00
0.12262,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.740,-0.011,-0.004,0.380,-29.148,0.000,0.000,0.000,15.566,5.000,0.000,0.000,0.60,0.00
0.13733,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.740,-0.011,-0.004,0.380,-22.183,0.000,0.000,0.000,14.929,5.000,0.000,0.000,0.60,0.00
0.17540,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.740,-0.011,-0.004,0.379,-16.293,0.000,0.000,0.000,14.929,5.000,0.000,0.000,0.60,0.00
0.18569,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.740,-0.011,-0.004,0.379,-8.241,0.000,0.000,0.000,14.925,5.000,0.000,0.000,0.60,0.00
0.19954,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.740,-0.011,-0.004,0.379,-8.241,0.000,0.000,0.000,14.925,5.000,0.000,0.000,0.60,0.00
0.22235,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,2.740,-0.011,-0.004,0.378,-2.239,0.000,0.000,0.000,14.903,5.000,0.000,0.000,0.60,0.00
