t,v_battery,kp_m1,kd_m1,p_des_m1,v_des_m1,t_des_m1,p_cur_m1,v_cur_m1,t_cur_m1,kp_m2,kd_m2,p_des_m2,v_des_m2,t_des_m2,p_cur_m2,v_cur_m2,t_cur_m2,sh_el,sh_el_dot,sh_hr,el_fe,el_fe_dot,sh_force_des,el_force_des,force_cur,trigger,gravity_support_shoulder,gravity_support_elbow
0.01840,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.802,0.055,-0.011,1.571,0.013,0.000,0.000,0.000,10.977,5.000,0.000,0.000,0.15,0.00
0.03016,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.802,0.055,-0.011,0.251,-28.208,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.04515,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.802,-0.011,-0.011,0.251,-21.922,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.05559,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.802,0.011,-0.011,0.251,-16.304,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.06586,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.802,0.011,-0.011,0.251,-11.823,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.07603,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.802,0.011,-0.011,0.251,-8.358,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.08619,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.802,0.011,-0.011,0.251,-5.731,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.09636,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.802,0.011,-0.011,0.251,-3.763,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.10652,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.802,0.011,-0.011,0.251,-2.309,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.11669,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.802,0.011,-0.011,0.251,-1.249,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.12686,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.802,0.011,-0.011,0.251,-0.490,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.13702,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.802,0.011,-0.011,0.251,0.043,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.14719,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.802,0.011,-0.011,0.251,0.409,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
0.15735,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.802,0.011,-0.011,0.251,0.648,0.000,0.000,0.000,5.000,5.000,0.000,0.000,0.15,0.00
